Molecular_Weight,XLogP,Polar_Area,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Has_Beta_Lactam,BetaLactam_AtomIdx,BetaLactam_Core_With_Attachments,SMILES,Mol,SMILES_Valid,Core_Scaffold_SMILES
623.9,5.3,142.0,4,8,False,,,CCCC1OC(=O)C(C)CC(C)CCCCC(=O)CCCC(CC)/C=C\C=C(\COC)CCC(O)C(O)CC(O)CNC1=O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c350>,True,CCCC1OC(=O)C(C)CC(C)CCCCC(=O)CCCC(CC)/C=C\C=C(\COC)CCC(O)C(O)CC(O)CNC1=O
877.0,6.7,220.0,6,15,False,,,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N\N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c3c0>,True,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N\N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
637.8,2.1,160.0,3,11,False,,,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C/C=N/NC(C)=O)CC(C)C(=O)/C=C/C2(C)OC2C1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c430>,True,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C/C=N/NC(C)=O)CC(C)C(=O)/C=C/C2(C)OC2C1C
412.4,0.0,212.0,3,11,True,"9,10,11,12,13,14,21,20",*[C@@H]1C(=O)N(*)[C@@H]1*,O=C(O)CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1cscn1,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c4a0>,True,*[C@@H]1C(=O)N(*)[C@@H]1*
370.4,1.5,119.0,2,8,False,,,CO[C@H](CO)C(=O)O[C@H](C)c1cccc2nc3c(C(=O)O)cccc3nc12,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c510>,True,CO[C@H](CO)C(=O)O[C@H](C)c1cccc2nc3c(C(=O)O)cccc3nc12
596.8,5.4,115.0,3,8,False,,,CC[C@@H]1OC2([C@]3(C)C[C@H](C)[C@@H]([C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@H]4O[C@](C)(O)[C@H](CC)[C@H](O)[C@@H]4C)O3)O[C@@]1(CC)C[C@H]2C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c580>,True,CC[C@@H]1OC2([C@]3(C)C[C@H](C)[C@@H]([C@@H](CC)C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@H]4O[C@](C)(O)[C@H](CC)[C@H](O)[C@@H]4C)O3)O[C@@]1(CC)C[C@H]2C
319.32,-2.8,182.0,7,5,False,,,N=C(N)/C=C/NC(=O)c1cc(NC(=O)[C@@H]2C[C@@H](O)C(N)=N2)c[nH]1,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c5f0>,True,N=C(N)/C=C/NC(=O)c1cc(NC(=O)[C@@H]2C[C@@H](O)C(N)=N2)c[nH]1
1313.4,0.7,459.0,15,22,False,,,N[C@H]1C(=O)N[C@@H]2Cc3ccc(c(Cl)c3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(O)cc(c2)Oc2cc1ccc2OS(=O)(=O)O)c1cc(Cl)c(O)c(c1)-c1c(O)cc(O)cc1[C@@H](C(=O)O)NC3=O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c660>,True,N[C@H]1C(=O)N[C@@H]2Cc3ccc(c(Cl)c3)Oc3cc4cc(c3O)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(O)cc(c2)Oc2cc1ccc2OS(=O)(=O)O)c1cc(Cl)c(O)c(c1)-c1c(O)cc(O)cc1[C@@H](C(=O)O)NC3=O
887.1,5.0,200.0,4,16,False,,,COC1CCC(OC2CC(C3CCC(C4OC(C)(O)C(C)CC4C)O3)OC2C2(C)CC(C)C3(OC(CC4OC(O)(C(O)C(=O)O)C(C)C(OC)C4C)CC(OC)C3C)O2)OC1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c6d0>,True,COC1CCC(OC2CC(C3CCC(C4OC(C)(O)C(C)CC4C)O3)OC2C2(C)CC(C)C3(OC(CC4OC(O)(C(O)C(=O)O)C(C)C(OC)C4C)CC(OC)C3C)O2)OC1C
426.4,0.9,153.0,4,9,False,,,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(Nc4ccc(O)cc4)C3=O)N1CC1NC12,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c740>,True,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(Nc4ccc(O)cc4)C3=O)N1CC1NC12
823.7,-12.333780000000012,393.0,4,20,True,"15,14,12,13,11,7,39,40",*[C@@H]1C(=O)N(*)[C@@H]1*,Cc1cc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)/C(=N/O[C@H](C(=O)[O-])c4ccc(O)c(O)c4)c4cnc(N)s4)[C@H]3SC2)n2nc(C(=O)[O-])nc2n1.[Na+].[Na+].[Na+],<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c7b0>,True,*[C@@H]1C(=O)N(*)[C@@H]1*
328.34,-1.2,143.0,3,7,True,"17,16,14,15,13,9,20,21",*[C@@H]1C(=O)N(*)[C@@H]1*,CC(=O)N/C=C/[S@@](=O)C1=C(C(=O)O)N2C(=O)[C@@H]([C@H](C)O)[C@H]2C1,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c820>,True,*[C@@H]1C(=O)N(*)[C@@H]1*
224.32,3.3,62.6,1,3,False,,,C=CC(C)=CC1(CC)SC(=O)C(C)=C1O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c890>,True,C=CC(C)=CC1(CC)SC(=O)C(C)=C1O
323.4,0.3,96.0,2,5,False,,,C/C(=C/C(C)C(=O)CC(O)CC1CC(=O)NC(=O)C1)C1OC1C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c900>,True,C/C(=C/C(C)C(=O)CC(O)CC1CC(=O)NC(=O)C1)C1OC1C
222.2,-4.0,153.0,6,6,False,,,NC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c970>,True,NC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO
326.37,-0.7,132.0,3,6,False,,,CC(=O)NCCSC1=C(C(=O)O)N2C(=O)/C(=C(\C)CO)[C@H]2C1,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37c9e0>,True,CC(=O)NCCSC1=C(C(=O)O)N2C(=O)/C(=C(\C)CO)[C@H]2C1
623.9,5.3,142.0,4,8,False,,,CCCC1OC(=O)C(C)CC(C)CCCCC(=O)CCCC(CC)/C=C/C=C(\COC)CCC(O)C(O)CC(O)CNC1=O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37ca50>,True,CCCC1OC(=O)C(C)CC(C)CCCCC(=O)CCCC(CC)/C=C/C=C(\COC)CCC(O)C(O)CC(O)CNC1=O
477.5,-0.5,148.0,6,8,False,,,CN[C@H](C(=O)NC(=O)[C@H](Cc1ccccc1)N[C@@H](Cc1ccc(O)cc1)P(=O)(O)O)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cac0>,True,CN[C@H](C(=O)NC(=O)[C@H](Cc1ccccc1)N[C@@H](Cc1ccc(O)cc1)P(=O)(O)O)C(C)C
1157.3,6.1,273.0,6,22,False,,,CCC1(O)CC(OC2CC(N(C)C)C(OC3CCC(OC4CCC(O)C(C)O4)C(C)O3)C(C)O2)c2c(O)c3c(c(O)c2C1OC1CC(N(C)C)C(OC2CCC(OC4CCC(O)C(C)O4)C(C)O2)C(C)O1)C(=O)c1cccc(O)c1C3=O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cb30>,True,CCC1(O)CC(OC2CC(N(C)C)C(OC3CCC(OC4CCC(O)C(C)O4)C(C)O3)C(C)O2)c2c(O)c3c(c(O)c2C1OC1CC(N(C)C)C(OC2CCC(OC4CCC(O)C(C)O4)C(C)O2)C(C)O1)C(=O)c1cccc(O)c1C3=O
296.34,0.2,112.0,2,5,True,"1,2,3,4,5,6,19,18",*[C@@H]1C(=O)N(*)[C@@H]1*,CC[C@H]1C(=O)N2C(C(=O)O)=C(S/C=C/NC(C)=O)C[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cba0>,True,*[C@@H]1C(=O)N(*)[C@@H]1*
614.8,4.4,146.0,5,9,False,,,CC[C@@H]1[C@H](O)[C@H](C)[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@](C)([C@]3(O)O[C@@](CC)([C@@H](O)CC)C[C@H]3C)C[C@@H]2C)O[C@]1(C)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cc10>,True,CC[C@@H]1[C@H](O)[C@H](C)[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@](C)([C@]3(O)O[C@@](CC)([C@@H](O)CC)C[C@H]3C)C[C@@H]2C)O[C@]1(C)O
658.9,4.1,183.0,6,11,False,,,CC[C@@H]1[C@H](O)[C@H](C)[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@](C)([C@]3(O)O[C@@](CC)([C@@H](O)CC)C[C@H]3C)C[C@@H]2C)O[C@@]1(O)CC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37cc80>,True,CC[C@@H]1[C@H](O)[C@H](C)[C@@H]([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)[C@H]2O[C@](C)([C@]3(O)O[C@@](CC)([C@@H](O)CC)C[C@H]3C)C[C@@H]2C)O[C@@]1(O)CC(=O)O
378.5,-0.7,137.0,4,8,False,,,COC(C)C(NC(=O)C1CCCN1C)C1OC(SC)C(O)C(O)C1O,<rdkit.Chem.rdchem.Mol object at 0x7fa05d37ccf0>,True,COC(C)C(NC(=O)C1CCCN1C)C1OC(SC)C(O)C(O)C1O
